,NAME,Total Population,"Not Hispanic, White","Not Hispanic, Black","Not Hispanic, American Indian","Not Hispanic, Asian","Not Hispanic, Native Hawaiian","Not Hispanic, Other","Not Hispanic, Two or More Races",Hispanic,Median HH Income,state,county,tract
105,"Census Tract 142.01, Philadelphia County, Pennsylvania",3735.0,2668.0,314.0,16.0,133.0,0.0,0.0,101.0,503.0,111104.0,42,101,014201
106,"Census Tract 142.02, Philadelphia County, Pennsylvania",2399.0,1633.0,56.0,0.0,358.0,0.0,0.0,47.0,305.0,112736.0,42,101,014202
107,"Census Tract 143, Philadelphia County, Pennsylvania",2021.0,1627.0,100.0,0.0,117.0,0.0,0.0,64.0,113.0,99020.0,42,101,014300
108,"Census Tract 144, Philadelphia County, Pennsylvania",4648.0,2582.0,403.0,0.0,300.0,0.0,3.0,96.0,1264.0,109583.0,42,101,014400
109,"Census Tract 145, Philadelphia County, Pennsylvania",1962.0,107.0,1421.0,0.0,9.0,0.0,47.0,7.0,371.0,28173.0,42,101,014500
110,"Census Tract 146, Philadelphia County, Pennsylvania",4208.0,1263.0,2056.0,12.0,562.0,0.0,0.0,185.0,130.0,39167.0,42,101,014600
111,"Census Tract 147, Philadelphia County, Pennsylvania",2537.0,850.0,1155.0,0.0,167.0,0.0,0.0,168.0,197.0,18310.0,42,101,014700
112,"Census Tract 148, Philadelphia County, Pennsylvania",722.0,19.0,569.0,0.0,99.0,0.0,0.0,23.0,12.0,14573.0,42,101,014800
113,"Census Tract 149, Philadelphia County, Pennsylvania",4091.0,440.0,2966.0,0.0,32.0,0.0,0.0,149.0,504.0,19931.0,42,101,014900
114,"Census Tract 151.01, Philadelphia County, Pennsylvania",1929.0,90.0,1722.0,0.0,8.0,0.0,0.0,22.0,87.0,33000.0,42,101,015101
115,"Census Tract 151.02, Philadelphia County, Pennsylvania",4884.0,23.0,4612.0,6.0,26.0,0.0,0.0,72.0,145.0,21332.0,42,101,015102
116,"Census Tract 152, Philadelphia County, Pennsylvania",5738.0,300.0,5110.0,10.0,73.0,0.0,0.0,0.0,245.0,29289.0,42,101,015200
117,"Census Tract 153, Philadelphia County, Pennsylvania",3913.0,1696.0,1597.0,0.0,381.0,0.0,0.0,43.0,196.0,23393.0,42,101,015300
118,"Census Tract 156, Philadelphia County, Pennsylvania",1561.0,242.0,326.0,0.0,16.0,0.0,1.0,12.0,964.0,34773.0,42,101,015600
119,"Census Tract 157, Philadelphia County, Pennsylvania",2556.0,1394.0,133.0,0.0,144.0,0.0,0.0,160.0,725.0,63750.0,42,101,015700
120,"Census Tract 158, Philadelphia County, Pennsylvania",7308.0,6060.0,173.0,0.0,185.0,0.0,0.0,80.0,810.0,95450.0,42,101,015800
121,"Census Tract 160.01, Philadelphia County, Pennsylvania",2330.0,2113.0,198.0,0.0,0.0,0.0,0.0,0.0,19.0,79688.0,42,101,016001
122,"Census Tract 160.02, Philadelphia County, Pennsylvania",4547.0,3803.0,105.0,0.0,143.0,0.0,0.0,0.0,496.0,72857.0,42,101,016002
123,"Census Tract 121, Philadelphia County, Pennsylvania",3257.0,604.0,2337.0,0.0,122.0,0.0,0.0,94.0,100.0,46315.0,42,101,012100
124,"Census Tract 161, Philadelphia County, Pennsylvania",6255.0,3420.0,66.0,0.0,964.0,0.0,0.0,337.0,1468.0,77979.0,42,101,016100
